X,Y,Z,x_park
-2.055476116421928179e-03,-1.117485579065643497e+00,-4.084630261897148618e-04,-2.107767218657127101e-03
-1.901547364020358954e-03,-1.117502890881217903e+00,-3.670059748846765668e-04,-1.949892644356953589e-03
-1.791750940314140728e-03,-1.117453200535012625e+00,-4.927647975068866204e-04,-1.837386635812072577e-03
-1.781230725210469767e-03,-1.117524677080196538e+00,-3.111946245069885375e-04,-1.826481661840691434e-03
-1.900184830841145089e-03,-1.117536867364194553e+00,-2.811493234834844257e-04,-1.948436232574118823e-03
-1.946265125583102051e-03,-1.117647530349585860e+00,-2.062962146609503833e-06,-1.995488949107227829e-03
-1.889734797757863793e-03,-1.117522258310238659e+00,-3.169489580226031444e-04,-1.937746193469114817e-03
-1.845218655522520845e-03,-1.117523463000371198e+00,-3.168932039766536590e-04,-1.892097099721973871e-03
-1.766996933913550505e-03,-1.117475301888328110e+00,-4.490775226454191138e-04,-1.811966352654723490e-03
-1.712537720790122120e-03,-1.117496772595553356e+00,-3.970790181733740987e-04,-1.756087520832860273e-03
-1.775782326476071926e-03,-1.117549436069885216e+00,-2.582844865317707184e-04,-1.820854518378070509e-03
-1.874381192529112061e-03,-1.117511413071595516e+00,-3.561118887000641609e-04,-1.922021190386363461e-03
-1.897189898275350450e-03,-1.117592004815408657e+00,-1.506050992033519664e-04,-1.945269279340034515e-03
-1.852588307745914320e-03,-1.117436767331264180e+00,-5.489772703504980367e-04,-1.899801350052290330e-03
-1.854078259572330967e-03,-1.117608761598886113e+00,-1.135637545587042663e-04,-1.901036666055239003e-03
-1.949661176899666892e-03,-1.117503669288483215e+00,-3.752480157526300042e-04,-1.999228219962718208e-03
-1.895204122182608808e-03,-1.117414107654525868e+00,-5.991398039787015906e-04,-1.943542553320945412e-03
-1.854503964896378476e-03,-1.117451343702970501e+00,-5.035963294110212818e-04,-1.901741016783083365e-03
-1.879461090688011593e-03,-1.117516241393789356e+00,-3.384322678940121509e-04,-1.927221864650509623e-03
-1.840525004231569062e-03,-1.117595197235840221e+00,-1.382897196479798696e-04,-1.887163075783062846e-03
-1.865618856501854994e-03,-1.117496152164432432e+00,-3.960849615921857581e-04,-1.913062289192130191e-03
-1.891184155377659271e-03,-1.117542114897702499e+00,-2.794731049988591343e-04,-1.939197914853666056e-03
-1.855930015807902289e-03,-1.117522145048781335e+00,-3.274407599112294509e-04,-1.903082810231078361e-03
-1.815507814047156998e-03,-1.117503582537771045e+00,-3.737681353918470561e-04,-1.861664616155631795e-03
-1.870893338178331033e-03,-1.117488387232185465e+00,-4.179337683317269070e-04,-1.918484223532442587e-03
-1.875349013560553835e-03,-1.117563078832599421e+00,-2.264495837438623704e-04,-1.922924705906024507e-03
-1.837062094429908754e-03,-1.117572140811695869e+00,-2.007691454336546499e-04,-1.883651284203901374e-03
-3.887689244103015307e-03,-1.117116330600660845e+00,-2.027958283456782196e-03,-3.987897775782101549e-03
-1.117291260302229194e-02,-1.116010367776948620e+00,-7.338652488671840168e-03,-1.147192479727524549e-02
-1.759842453692481157e-02,-1.116304929646289468e+00,-8.762519768269097509e-03,-1.806373697577818432e-02
-1.623446744895305771e-02,-1.117718793458182702e+00,-7.188519373119386935e-03,-1.664284559312234624e-02
-1.181653795570040966e-02,-1.119233136208051205e+00,-5.779428205097483784e-03,-1.209779406470488754e-02
-7.914176199438016646e-03,-1.120827794805822730e+00,-4.643511496344412959e-03,-8.091186904537757407e-03
-8.929958577219343496e-03,-1.122882079479231132e+00,-3.043552250665215730e-03,-9.112945356230344601e-03
-1.201618894207287513e-02,-1.125636946808821426e+00,-8.753968156783725751e-04,-1.223219909314545925e-02
-1.389891556364913905e-02,-1.126279753471842282e+00,-4.362704906800629612e-03,-1.414051487120702826e-02
